"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,300","","37,500","","572,000","","1,620",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,200","","37,200","","565,000","","1,605",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,800","","31,300","","476,000","","1,597",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","38,800","","41,800","","639,000","","1,647",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,800","","37,400","","546,000","","1,665",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","23,300","","24,600","","337,000","","1,446",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,700","","34,700","","585,000","","1,789",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","45,400","","48,300","","771,000","","1,698",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","27,300","","29,300","","394,000","","1,443",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","27,100","","27,800","","497,000","","1,834",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,400","","31,400","","533,000","","1,813",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","21,500","","23,000","","406,000","","1,888",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","25,300","","28,000","","384,000","","1,518",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","46,100","","50,500","","785,000","","1,703",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,400","","34,600","","543,000","","1,676",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,500","","32,000","","553,000","","1,875",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","21,100","","22,800","","382,000","","1,810",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","69,500","","72,500","","1,302,000","","1,873",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,900","","38,500","","653,000","","1,819",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","40,200","","42,000","","807,000","","2,007",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,200","","32,200","","567,000","","1,942",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","53,600","","55,600","","1,091,000","","2,035",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","42,100","","46,000","","842,000","","2,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","31,500","","34,000","","622,000","","1,975",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","28,500","","31,000","","577,000","","2,025",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","49,000","","51,000","","984,000","","2,008",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","51,000","","55,000","","936,000","","1,835",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","39,000","","40,000","","797,000","","2,040",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","43,000","","44,000","","843,000","","1,960",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","62,500","","63,500","","1,110,000","","1,780",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","727,000","","",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","780,000","","",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","930,000","","",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","623,000","","",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","1,050,000","","",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","875,000","","",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","698,000","","",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","943,000","","",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","778,000","","",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","800,000","","",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","607,000","","",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","499,000","","",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","1,092,000","","",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","766,000","","",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","801,000","","",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","413,000","","",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","712,000","","",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","513,000","","",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","781,000","","",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","565,000","","",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","851,000","","",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","668,000","","",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","788,000","","",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","770,000","","",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","648,000","","",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","966,000","","",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","570,000","","",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","841,000","","",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","919,000","","",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","793,000","","",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","654,000","","",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","962,000","","",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","703,000","","",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","767,000","","",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","647,000","","",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","918,000","","",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","611,000","","",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","318,000","","",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","1,087,000","","",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","638,000","","",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","392,000","","",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","407,000","","",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","404,000","","",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","896,000","","",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","733,000","","",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","704,000","","",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","1,154,000","","",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","573,000","","",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","512,000","","",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","857,000","","",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","765,000","","",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","615,000","","",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","525,000","","",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","587,000","","",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","275,000","","",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","459,000","","",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","852,000","","",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","514,000","","",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","428,000","","",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","300,000","","",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","450,000","","",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","450,000","","",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","277,000","","",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","275,000","","",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","250,000","","",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","380,000","","",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","190,000","","",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","230,000","","",""
